date_operation,libelle,debit,credit,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois,montant,solde_avt_ope,categ,type,tranche_depense
2023-10-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,0.0,2023,10,6,<bound method Timestamp.day_name of Timestamp('2023-10-06 00:00:00')>,5,False,1,-1.92,1515.2500000000014,COTISATION BANCAIRE,AUTRE,petite
2023-10-06,CARTE XX XX CHEZ LUC XX,-10.0,0.0,2023,10,6,<bound method Timestamp.day_name of Timestamp('2023-10-06 00:00:00')>,5,False,1,-10.0,1513.3300000000013,RESTAURANT,CARTE,petite
2023-10-06,PRELEVEMENT XX TELEPHONE XX XX,-13.58,0.0,2023,10,6,<bound method Timestamp.day_name of Timestamp('2023-10-06 00:00:00')>,5,False,1,-13.58,1503.3300000000013,FACTURE TELEPHONE,AUTRE,petite
2023-10-05,CARTE XX XX XX XX XX XX,-10.64,0.0,2023,10,5,<bound method Timestamp.day_name of Timestamp('2023-10-05 00:00:00')>,4,False,1,-10.64,1489.7500000000014,AUTRE,CARTE,petite
2023-10-05,CARTE XX XX XX XX,-4.8,0.0,2023,10,5,<bound method Timestamp.day_name of Timestamp('2023-10-05 00:00:00')>,4,False,1,-4.8,1479.1100000000013,AUTRE,CARTE,petite
2023-10-03,CARTE XX XX LA CCNCF XX,-67.68,0.0,2023,10,3,<bound method Timestamp.day_name of Timestamp('2023-10-03 00:00:00')>,2,False,1,-67.68,1474.3100000000013,TRANSPORT,CARTE,petite
2023-10-02,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,0.0,676.0,2023,10,2,<bound method Timestamp.day_name of Timestamp('2023-10-02 00:00:00')>,1,False,1,676.0,1406.6300000000012,AUTRE,VIREMENT,(pas une depense)
2023-09-30,XX XX VIREMENT XX XX XX,-36.0,0.0,2023,9,30,<bound method Timestamp.day_name of Timestamp('2023-09-30 00:00:00')>,6,False,4,-36.0,2082.630000000001,AUTRE,VIREMENT,petite
2023-09-29,DON XX XX XX XX XX XX XX,-1.76,0.0,2023,9,29,<bound method Timestamp.day_name of Timestamp('2023-09-29 00:00:00')>,5,False,4,-1.76,2046.6300000000012,AUTRE,DON,petite
2023-09-26,CARTE XX XX TOUPTIPRI XX,-2.93,0.0,2023,9,26,<bound method Timestamp.day_name of Timestamp('2023-09-26 00:00:00')>,2,False,4,-2.93,2044.8700000000013,COURSES,CARTE,petite
2023-09-26,CARTE XX XX TOUPTIPRI XX,-10.36,0.0,2023,9,26,<bound method Timestamp.day_name of Timestamp('2023-09-26 00:00:00')>,2,False,4,-10.36,2041.9400000000014,COURSES,CARTE,petite
2023-09-26,RETRAIT XX XX XX,-320.0,0.0,2023,9,26,<bound method Timestamp.day_name of Timestamp('2023-09-26 00:00:00')>,2,False,4,-320.0,2031.5800000000013,AUTRE,RETRAIT,grosse
2023-09-26,CARTE XX XX XX XX XX,-1.2,0.0,2023,9,26,<bound method Timestamp.day_name of Timestamp('2023-09-26 00:00:00')>,2,False,4,-1.2,1711.5800000000013,AUTRE,CARTE,petite
2023-09-25,PRELEVEMENT XX XX XX XX XX XX XX XX,-593.6,0.0,2023,9,25,<bound method Timestamp.day_name of Timestamp('2023-09-25 00:00:00')>,1,False,4,-593.6,1710.3800000000012,AUTRE,AUTRE,grosse
2023-09-25,CARTE XX XX CHEZ LUC XX,-8.52,0.0,2023,9,25,<bound method Timestamp.day_name of Timestamp('2023-09-25 00:00:00')>,1,False,4,-8.52,1116.7800000000013,RESTAURANT,CARTE,petite
2023-09-25,CARTE XX XX XX XX XX XX,-7.12,0.0,2023,9,25,<bound method Timestamp.day_name of Timestamp('2023-09-25 00:00:00')>,1,False,4,-7.12,1108.2600000000014,AUTRE,CARTE,petite
